country,country_code,city,place_name,category,description,rating,entry_fee_usd,visit_duration_hrs,best_time_to_visit,tags,lat,lon,is_unesco,continent,nearest_airport_iata,nearest_airport_name,avg_flight_price_usd
France,FR,Paris,Eiffel Tower,Landmark,Iron lattice tower and global symbol of France built in 1889,4.8,28,3,Spring & Fall,"Iconic,Photography,Romance,Sunset",48.8584,2.2945,No,Europe,VIY,Villacoublay-Vélizy (BA 107) Air Base,630.0
France,FR,Paris,The Louvre Museum,Museum,"World's largest art museum housing the Mona Lisa and 35,000 artworks",4.7,22,4,Weekday mornings,"Art,History,Architecture,Culture",48.8606,2.3376,No,Europe,LBG,Paris-Le Bourget Airport,630.0
France,FR,Paris,Palace of Versailles,Palace,Royal château with Hall of Mirrors and grand gardens,4.8,20,5,Spring,"History,Gardens,Royalty,Architecture",48.8049,2.1204,Yes,Europe,TNF,Toussus-le-Noble Airport,630.0
France,FR,Nice,French Riviera,Beach,Glamorous Mediterranean coastline with azure waters and luxury resorts,4.5,0,6,Summer,"Beach,Luxury,Swimming,Sunbathing",43.7102,7.262,No,Europe,NCE,Nice-Côte d'Azur Airport,
France,FR,Mont Saint-Michel,Mont Saint-Michel Abbey,Landmark,Medieval island commune with stunning tidal abbey,4.9,12,4,Low tide visits,"Medieval,Island,Architecture,Pilgrimage",48.6361,-1.5115,Yes,Europe,GFR,Granville Airport,
Italy,IT,Rome,Colosseum,Landmark,"Ancient Roman amphitheatre, one of the greatest works of architecture",4.8,18,3,Morning,"Ancient,History,Architecture,UNESCO",41.8902,12.4922,Yes,Europe,CIA,Ciampino–G. B. Pastine International Airport,620.0
Italy,IT,Rome,Vatican Museums & Sistine Chapel,Museum,Popes' collection of art including Michelangelo's ceiling frescoes,4.7,20,3,Early morning,"Art,Religion,History,Michelangelo",41.9065,12.4536,No,Europe,CIA,Ciampino–G. B. Pastine International Airport,620.0
Italy,IT,Florence,Uffizi Gallery,Museum,"World's premier art museum with works by Botticelli, da Vinci, Raphael",4.7,25,4,Weekdays,"Art,Renaissance,Culture,Botticelli",43.7678,11.2556,No,Europe,FLR,Peretola Airport,
Italy,IT,Venice,Grand Canal & St Mark's Basilica,Landmark,Iconic waterway lined with palaces; ornate Byzantine basilica,4.8,5,5,Spring & Fall,"Canal,Architecture,Romance,Photography",45.4341,12.3388,Yes,Europe,VCE,Venice Marco Polo Airport,
Italy,IT,Amalfi,Amalfi Coast,Nature,Dramatic cliffside villages above turquoise Mediterranean waters,4.9,0,8,May-June,"Scenic,Drive,Beach,Villages",40.634,14.6027,Yes,Europe,QSR,Salerno Costa d'Amalfi Airport,
Italy,IT,Cinque Terre,Cinque Terre Villages,Nature,Five colourful cliffside fishing villages with breathtaking sea views,4.8,7,6,May-September,"Hiking,Coast,Photography,Villages",44.1028,9.7228,Yes,Europe,QLP,Sarzana-Luni Air Base,
Italy,IT,Pompeii,Pompeii Archaeological Park,Heritage,Ancient Roman city preserved by Mt Vesuvius eruption in 79 AD,4.7,16,4,Morning,"Ancient,History,Archaeology,UNESCO",40.7508,14.4863,Yes,Europe,NAP,Naples International Airport,
Spain,ES,Barcelona,Sagrada Família,Landmark,"Gaudí's extraordinary unfinished basilica, Barcelona's icon",4.8,25,2,Morning,"Architecture,Gaudí,Church,Art",41.4036,2.1744,Yes,Europe,QSA,Sabadell Airport,600.0
Spain,ES,Barcelona,Park Güell,Park,Mosaic park by Gaudí with panoramic city views,4.7,12,2,Sunrise,"Architecture,Art,Views,Gaudí",41.4145,2.1527,Yes,Europe,QSA,Sabadell Airport,600.0
Spain,ES,Madrid,Prado Museum,Museum,"Spain's national art museum with Goya, Velázquez masterpieces",4.8,15,3,Weekday afternoon,"Art,History,Goya,Velázquez",40.4138,-3.6922,No,Europe,ECV,Cuatro Vientos Airport,
Spain,ES,Seville,Alcázar of Seville,Palace,Stunning royal palace — UNESCO site with Moorish & Gothic architecture,4.8,14,3,Morning,"Moorish,Palace,Architecture,Gardens",37.3828,-5.9901,Yes,Europe,SVQ,Sevilla Airport,
Spain,ES,Granada,Alhambra Palace,Palace,Nazarid fortress with intricate Islamic architecture and palace gardens,4.9,18,4,Sunrise,"Moorish,Architecture,History,Gardens",37.176,-3.588,Yes,Europe,GRX,Federico Garcia Lorca Airport,
United Kingdom,GB,London,Tower of London,Landmark,Historic castle on the Thames housing the Crown Jewels since 1066,4.7,32,3,Weekdays,"History,Royalty,Crown Jewels,Architecture",51.5081,-0.0759,Yes,Europe,LCY,London City Airport,639.0
United Kingdom,GB,London,British Museum,Museum,World-class museum with 8 million artifacts including the Rosetta Stone,4.7,0,4,Weekday morning,"History,Art,Rosetta Stone,Free",51.5194,-0.127,No,Europe,LCY,London City Airport,639.0
United Kingdom,GB,London,Buckingham Palace,Landmark,Official residence of the British monarch; Changing of the Guard ceremony,4.6,28,2,Summer,"Royalty,History,Architecture,Guards",51.5014,-0.1419,No,Europe,LCY,London City Airport,639.0
United Kingdom,GB,Edinburgh,Edinburgh Castle,Landmark,Iconic fortress on volcanic rock housing Scottish Crown Jewels,4.8,20,3,Morning,"Castle,History,Scotland,Views",55.9486,-3.1999,No,Europe,EDI,Edinburgh Airport,
United Kingdom,GB,Stonehenge,Stonehenge,Heritage,"Mysterious prehistoric monument, one of the world's most famous landmarks",4.7,24,2,Sunrise,"Ancient,Mystery,UNESCO,Prehistoric",51.1789,-1.8262,Yes,Europe,LYE,RAF Lyneham,
United Kingdom,GB,Bath,Roman Baths,Heritage,Remarkably preserved Roman bathing complex from 60-70 AD,4.7,20,2,Morning,"Roman,History,Architecture,Heritage",51.3812,-2.359,Yes,Europe,FZO,Bristol Filton Airport,
Germany,DE,Berlin,Brandenburg Gate,Landmark,Iconic neoclassical monument symbolising unity and the fall of the Berlin Wall,4.7,0,1,Any time,"History,Architecture,Free,Symbol",52.5163,13.3777,No,Europe,THF,Berlin-Tempelhof International Airport,
Germany,DE,Berlin,Berlin Wall Memorial,Heritage,Memorial along preserved stretch of the Wall with exhibitions,4.8,0,2,Morning,"History,Cold War,Memorial,Free",52.5354,13.3894,No,Europe,THF,Berlin-Tempelhof International Airport,
Germany,DE,Munich,Neuschwanstein Castle,Landmark,Fairy-tale 19th-century castle that inspired Disney's Sleeping Beauty,4.8,15,4,Spring,"Castle,Fairy-tale,Bavaria,Photography",47.5576,10.7498,No,Europe,FMM,Memmingen Allgau Airport,
Germany,DE,Cologne,Cologne Cathedral,Landmark,Gothic masterpiece and UNESCO World Heritage Site begun in 1248,4.7,0,2,Morning,"Gothic,Architecture,UNESCO,Free",50.9413,6.9583,Yes,Europe,CGN,Cologne Bonn Airport,
Netherlands,NL,Amsterdam,Anne Frank House,Museum,"Secret annex where Anne Frank hid during WWII, now a moving museum",4.8,14,2,Morning,"History,WWII,Memorial,Moving",52.3752,4.884,No,Europe,AMS,Amsterdam Airport Schiphol,
Netherlands,NL,Amsterdam,Rijksmuseum,Museum,"National museum with Rembrandt, Vermeer and Dutch Golden Age art",4.8,22,3,Weekday morning,"Art,Dutch Masters,Rembrandt,Culture",52.36,4.8852,No,Europe,AMS,Amsterdam Airport Schiphol,
Netherlands,NL,Keukenhof,Keukenhof Gardens,Nature,World's largest flower garden with 7 million tulips and bulbs,4.8,22,3,April-May,"Flowers,Tulips,Gardens,Photography",52.2697,4.5468,No,Europe,LID,Valkenburg Naval Air Base,
Greece,GR,Athens,Acropolis of Athens,Heritage,"Ancient citadel containing the Parthenon, symbol of Classical Greece",4.8,20,3,Sunrise or sunset,"Ancient,UNESCO,Architecture,History",37.9715,23.7257,Yes,Europe,HEW,Athen Helenikon Airport,
